ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.837494,1.823334,9.521042,-1.068759,1.657814,9.606237,-0.070115,-0.021097,-0.369746,-0.137238,0.044373,0.05069,2147.4836,-2.0889,-29.8431,-37.5,168.1418,-9.9357,6.0208,8.0,946.9107,37.65106,36.04823,-115.13119,604.0,NaN,0.034246698,0.0,4.288,,10 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,22,52,314,,25,12,054,,26,15,143,*4B::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201357.00,A,3602.893674,N,11507.871040,W,0.0,,011219,12.3,E,A*27::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201357.00,3602.893674,N,11507.871040,W,1,10,1.2,622.0,M,-18.0,M,,*4A::$GNGSA,A,2,70,71,85,,,,,,,,,,1.5,1.2,0.9,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,87,11,327,,72,08,296,*6D::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",20,2019-12-01 12:13:56:826
-0.753738,1.983643,9.341583,-1.067484,1.643147,9.608898,0.299528,0.347473,-0.165716,-0.052963,-0.002045,0.055588,2147.4836,0.032,-30.4886,-33.8211,171.0783,-9.6457,6.3392,8.0,946.9107,38.40296,36.04823,-115.13119,604.0,NaN,0.034246698,0.0,4.288,,10 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,22,52,314,,25,12,054,,26,15,143,*4B::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201357.00,A,3602.893674,N,11507.871040,W,0.0,,011219,12.3,E,A*27::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201357.00,3602.893674,N,11507.871040,W,1,10,1.2,622.0,M,-18.0,M,,*4A::$GNGSA,A,2,70,71,85,,,,,,,,,,1.5,1.2,0.9,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,87,11,327,,72,08,296,*6D::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",120,2019-12-01 12:13:56:926
-1.296905,1.603195,9.57608,-1.058168,1.59748,9.617626,-0.166275,0.047305,0.081591,-0.057846,0.090805,0.0849,2147.4836,-1.3748,-29.8447,-33.8257,169.7336,-9.4188,6.2208,8.0,946.917,38.40296,36.04823,-115.13119,604.0,NaN,-0.019026008,0.0,4.288,,10 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,22,52,314,,25,12,054,,26,15,143,*4B::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201357.00,A,3602.893674,N,11507.871040,W,0.0,,011219,12.3,E,A*27::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201357.00,3602.893674,N,11507.871040,W,1,10,1.2,622.0,M,-18.0,M,,*4A::$GNGSA,A,2,70,71,85,,,,,,,,,,1.5,1.2,0.9,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,87,11,327,,72,08,296,*6D::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",220,2019-12-01 12:13:57:026
-1.330414,2.029114,9.090332,-1.183779,1.605048,9.601712,-0.212905,0.350516,-0.302242,-0.010193,0.089584,0.116669,2147.4836,-2.0721,-29.184,-33.8287,165.2515,-9.3917,6.9381,8.0,946.9167,38.40296,36.04823,-115.13119,604.0,NaN,-0.017123405,0.0,4.288,,9 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,22,52,314,,25,12,054,,26,15,143,*4B::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201357.00,A,3602.893674,N,11507.871040,W,0.0,,011219,12.3,E,A*27::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201357.00,3602.893674,N,11507.871040,W,1,10,1.2,622.0,M,-18.0,M,,*4A::$GNGSA,A,2,70,71,85,,,,,,,,,,1.5,1.2,0.9,2*31::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,87,11,327,,72,08,296,*6D::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",321,2019-12-01 12:13:57:127
-1.488342,2.419144,9.107086,-1.265227,1.548463,9.600616,-0.342944,0.964931,-0.320501,-0.057846,-0.043594,0.062912,2147.4836,-2.0737,-29.1733,-36.0336,166.9649,-9.0928,7.5557,8.0,946.9167,38.40296,36.04823,-115.13119,604.0,NaN,-0.017123405,0.0,4.288,,9 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,22,52,314,,25,12,054,,26,15,143,*4B::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201358.00,A,3602.893733,N,11507.871091,W,0.0,,011219,12.3,E,A*26::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201358.00,3602.893733,N,11507.871091,W,1,09,1.0,622.0,M,-18.0,M,,*41::$GNGSA,A,2,70,71,85,,,,,,,,,,1.3,1.0,0.9,2*35::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,87,11,327,,72,08,296,*6D::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",420,2019-12-01 12:13:57:226
-1.342377,2.167893,9.63829,-1.391425,1.455369,9.59772,-0.15696,0.689839,0.754613,0.006897,0.220306,-0.001846,2147.4836,-1.3107,-27.1332,-35.3104,164.7486,-8.5001,8.0474,8.0,946.9182,36.54503,36.04823,-115.13119,604.0,NaN,-0.02901468,0.0,4.288,,9 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,22,52,314,,25,12,054,,26,15,143,*4B::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201358.00,A,3602.893733,N,11507.871091,W,0.0,,011219,12.3,E,A*26::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201358.00,3602.893733,N,11507.871091,W,1,09,1.0,622.0,M,-18.0,M,,*41::$GNGSA,A,2,70,71,85,,,,,,,,,,1.3,1.0,0.9,2*35::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,87,11,327,,72,08,296,*6D::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",522,2019-12-01 12:13:57:328
-0.983444,2.758927,9.554535,-1.544864,1.51859,9.564396,0.539809,1.164655,0.211175,0.053329,0.227631,-0.054367,2147.4836,0.7751,-29.1092,-36.0321,159.7669,-8.8288,8.9712,8.0,946.9163,36.54503,36.04823,-115.13119,604.0,NaN,-0.01284255,0.0,4.288,,9 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,22,52,314,,25,12,054,,26,15,143,*4B::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201358.00,A,3602.893733,N,11507.871091,W,0.0,,011219,12.3,E,A*26::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201358.00,3602.893733,N,11507.871091,W,1,09,1.0,622.0,M,-18.0,M,,*41::$GNGSA,A,2,70,71,85,,,,,,,,,,1.3,1.0,0.9,2*35::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,87,11,327,,72,08,296,*6D::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",621,2019-12-01 12:13:57:427
-1.572082,2.732605,9.166901,-1.846347,1.608787,9.495957,0.289379,1.070703,-0.234728,0.144959,0.139679,-0.236404,2147.4836,2.1683,-30.4291,-36.0245,168.5661,-9.3356,10.854,8.0,946.9163,36.54503,36.04823,-115.13119,604.0,NaN,-0.01284255,0.0,4.288,,9 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,22,52,314,,25,12,054,,26,15,143,*4B::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201358.00,A,3602.893733,N,11507.871091,W,0.0,,011219,12.3,E,A*26::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201358.00,3602.893733,N,11507.871091,W,1,09,1.0,622.0,M,-18.0,M,,*41::$GNGSA,A,2,70,71,85,,,,,,,,,,1.3,1.0,0.9,2*35::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,87,11,327,,72,08,296,*6D::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",720,2019-12-01 12:13:57:526
-1.916656,2.423935,9.891922,-1.985945,1.723827,9.447477,0.023049,0.730966,0.567654,0.353882,-0.009384,-0.181412,2147.4836,1.474,-29.7775,-34.5596,167.1617,-9.7806,11.752,8.0,946.9196,37.52622,36.04823,-115.13119,604.0,NaN,-0.040430322,0.0,4.288,,9 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,22,52,314,,25,12,054,,26,15,143,*4B::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201358.00,A,3602.893733,N,11507.871091,W,0.0,,011219,12.3,E,A*26::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201358.00,3602.893733,N,11507.871091,W,1,09,1.0,622.0,M,-18.0,M,,*41::$GNGSA,A,2,70,71,85,,,,,,,,,,1.3,1.0,0.9,2*35::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,87,11,327,,72,08,296,*6D::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",820,2019-12-01 12:13:57:626
-1.90947,2.050644,9.934998,-2.070551,1.897132,9.395962,0.14824,0.180927,0.644636,-0.079834,0.172653,-0.587021,2147.4836,3.5934,-30.4077,-33.8196,171.7509,-11.2793,12.2398,8.0,946.9111,37.52622,36.04823,-115.13119,604.0,NaN,0.030441519,0.0,4.288,,9 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,22,52,314,,25,12,054,,26,15,143,*4B::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201358.00,A,3602.893733,N,11507.871091,W,0.0,,011219,12.3,E,A*26::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201358.00,3602.893733,N,11507.871091,W,1,09,1.0,622.0,M,-18.0,M,,*41::$GNGSA,A,2,70,71,85,,,,,,,,,,1.3,1.0,0.9,2*35::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,87,11,327,,72,08,296,*6D::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",921,2019-12-01 12:13:57:727
-2.086548,1.787445,8.652451,-2.429994,1.808429,9.327117,0.222513,-0.065002,-0.549408,0.202377,0.155563,-0.379333,2147.4836,6.4285,-31.0226,-33.0795,170.372,-10.5214,13.6179,8.0,946.9111,37.52622,36.04823,-115.13119,604.0,NaN,0.030441519,0.0,4.288,,9 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,22,52,314,,25,12,054,,26,15,143,*4B::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201358.00,A,3602.893733,N,11507.871091,W,0.0,,011219,12.3,E,A*26::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201358.00,3602.893733,N,11507.871091,W,1,09,1.0,622.0,M,-18.0,M,,*41::$GNGSA,A,2,70,71,85,,,,,,,,,,1.3,1.0,0.9,2*35::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,87,11,327,,72,08,296,*6D::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1021,2019-12-01 12:13:57:827
-1.366302,1.387833,9.119049,-2.509129,1.879234,9.292101,0.881361,-0.510073,0.57458,0.417419,0.14212,-0.558929,2147.4836,5.6839,-32.3975,-32.338,174.2199,-11.0478,15.1111,8.0,946.9065,36.90039,36.04823,-115.13119,604.0,NaN,0.069444545,0.0,4.288,,9 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,22,52,314,,25,12,054,,26,15,143,*4B::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201358.00,A,3602.893733,N,11507.871091,W,0.0,,011219,12.3,E,A*26::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201358.00,3602.893733,N,11507.871091,W,1,09,1.0,622.0,M,-18.0,M,,*41::$GNGSA,A,2,70,71,85,,,,,,,,,,1.3,1.0,0.9,2*35::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,87,11,327,,72,08,296,*6D::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1120,2019-12-01 12:13:57:926
-1.435699,1.342377,9.899109,-2.720865,1.898684,9.228341,1.20832,-0.527485,0.716862,0.165726,0.016281,-0.72876,2147.4836,9.9579,-32.2876,-35.2768,179.3949,-11.3735,16.1604,8.0,946.9095,36.90039,36.04823,-115.13119,604.0,NaN,0.043759644,0.0,4.288,,9 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,22,52,314,,25,12,054,,26,15,143,*4B::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201358.00,A,3602.893733,N,11507.871091,W,0.0,,011219,12.3,E,A*26::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201358.00,3602.893733,N,11507.871091,W,1,09,1.0,622.0,M,-18.0,M,,*41::$GNGSA,A,2,70,71,85,,,,,,,,,,1.3,1.0,0.9,2*35::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,87,11,327,,72,08,296,*6D::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1222,2019-12-01 12:13:58:028
-1.797012,2.060227,8.839081,-3.008587,1.958456,9.125965,1.420392,0.010524,-0.219162,0.407623,-0.0448,-0.826477,2147.4836,12.8235,-31.5613,-32.338,185.4321,-11.5198,18.246,8.0,946.9095,36.90039,36.04823,-115.13119,604.0,NaN,0.043759644,0.0,4.288,,11 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,26,15,143,20,31,69,082,35,32,28,060,34*46::$GNVTG,,T,,M,0.0,N,0.0,K,A*3D::$GNRMC,201358.00,A,3602.893733,N,11507.871091,W,0.0,,011219,12.3,E,A*26::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201358.00,3602.893733,N,11507.871091,W,1,09,1.0,622.0,M,-18.0,M,,*41::$GNGSA,A,2,70,71,85,,,,,,,,,,1.3,1.0,0.9,2*35::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,69,01,095,,72,08,296,*66::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1321,2019-12-01 12:13:58:127
-2.931213,1.658234,10.078568,-3.165269,1.933678,9.078126,0.185304,-0.239954,1.10109,0.433289,0.098145,-0.885132,2147.4836,15.625,-33.5297,-30.8578,190.7398,-11.3453,19.0015,8.0,946.9066,36.90039,36.04822,-115.13118,603.0,NaN,0.068493254,0.34,4.288,170.5,11 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,26,15,143,20,31,69,082,35,32,28,060,34*46::$GNVTG,170.5,T,170.5,M,0.7,N,1.2,K,A*39::$GNRMC,201359.00,A,3602.893181,N,11507.870900,W,0.7,170.5,011219,12.3,E,A*02::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201359.00,3602.893181,N,11507.870900,W,1,11,0.7,621.0,M,-18.0,M,,*43::$GNGSA,A,3,70,71,80,85,,,,,,,,,1.0,0.7,0.7,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,69,01,095,,72,08,296,*66::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1422,2019-12-01 12:13:58:228
-2.998199,2.38086,10.466202,-3.379522,2.089273,8.965721,0.466352,0.370225,1.798172,0.576218,0.093246,-0.687195,2147.4836,17.7795,-32.814,-29.3884,190.617,-12.0561,20.3872,8.0,946.8984,36.65161,36.04822,-115.13118,603.0,NaN,0.1379372,0.34,4.288,170.5,11 / 22,"$GPVTG,,T,,M,0.0,N,0.0,K,A*23::$GPGSV,3,3,11,26,15,143,20,31,69,082,35,32,28,060,34*46::$GNVTG,170.5,T,170.5,M,0.7,N,1.2,K,A*39::$GNRMC,201359.00,A,3602.893181,N,11507.870900,W,0.7,170.5,011219,12.3,E,A*02::$GPRMC,201250.00,A,3602.900816,N,11507.877206,W,0.0,,011219,12.3,E,A*38::$GPGGA,201250.00,3602.900816,N,11507.877206,W,1,00,0.7,621.0,M,-18.0,M,,*53::$GNGGA,201359.00,3602.893181,N,11507.870900,W,1,11,0.7,621.0,M,-18.0,M,,*43::$GNGSA,A,3,70,71,80,85,,,,,,,,,1.0,0.7,0.7,2*37::$GPGSA,A,1,,,,,,,,,,,,,1.0,0.7,0.7,1*2C::$GAGSV,1,1,0,*74::$GLGSV,3,3,10,69,01,095,,72,08,296,*66::$GBGSV,1,1,0,*77::$PQGSV,1,1,0,*73",1521,2019-12-01 12:13:58:327
